449,"ABORIGENES DE VENEZUELA T:II, LOS","FUNDACION LA SALLE","909 F","",5
457,"AFRICA EN AMERICA LATINA","MORENO, MANUEL","909 M","",7
460,"DERECHO PROCESAL CIVIL T:I","CUENCA, HUMBERTO","344 C","",19
462,"ABORIGENES DE VENEZUELA T:I, LOS","FUNDACION LA SALLE","909 F","",4
464,"ABORIGENES DE VENEZUELA TOMO III, LOS","FUNDACION LA SALLE","909 F","",2
468,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",11
469,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",11
470,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
471,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
472,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
473,"GIMNASIA CORRECTIVA","GALOPIN, ROGER","10644","",7
474,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",7
475,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",16
476,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",14
487,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",10
488,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",11
489,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",9
490,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",7
491,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",8
492,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",7
493,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",14
494,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",11
495,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",12
496,"TEORIA Y ESTRUCTURA SOCIALES","MERTON, ROBERT","303M","",12
497,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",1
498,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",4
499,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",10
500,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",3
501,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",10
502,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",11
503,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",9
504,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",0
505,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",8
506,"ECONOMIA Y SOCIEDAD: ESBOZO DE SOCIOLOGIA COMPRENSIVA I","WEBER, MAX","306W","",3
